Player,height,weight,collage
Jay Arnette,188,79,University of Texas at Austin
Larry Comley,196,95,Kansas State University
Mel Gibson,190,81,Western Carolina University
Jerry Greenspan,196,88,University of Maryland
Reggie Harding,213,112,
Jerry Harkness,188,79,Loyola University of Chicago
Art Heyman,196,92,Duke University
Gary Hill,193,83,Oklahoma City University
Tom Hoover,206,104,Villanova University
Gus Johnson*,198,104,University of Idaho
Jim King,188,79,University of Tulsa
Don Kojis,196,97,Marquette University
Jerry Lucas*,203,104,Ohio State University
Eddie Miles,193,88,Seattle University
Mel Peterson,193,83,Wheaton College
Ken Rohloff,183,88,North Carolina State University
Larry Siegfried,190,86,Ohio State University
Roger Strickland,196,90,Jacksonville University
Tom Thacker,188,77,University of Cincinnati
Rod Thorn,193,88,West Virginia University
Nate Thurmond*,211,102,Bowling Green State University
Gerry Ward,193,88,Boston College
John Windsor,203,97,Stanford University
Jim Barnes,203,95,University of Texas at El Paso
Ron Bonham,196,87,University of Cincinnati
Gary Bradds,203,95,Ohio State University
Em Bryant,185,79,DePaul University
Joe Caldwell,196,88,Arizona State University
Mel Counts,213,104,Oregon State University
Steve Courtin,185,85,Saint Joseph's University
Jerry Grote,193,97,Loyola Marymount University
Happy Hairston,201,102,New York University
Walt Hazzard,201,102,
Les Hunter,201,95,Loyola University of Chicago
Luke Jackson,206,108,University of Texas-Pan American
Larry Jones,188,81,University of Toledo
Wali Jones,193,102,University of Kentucky
Howard Komives,185,83,Bowling Green State University
Bud Koper,198,95,Oklahoma City University
Barry Kramer,193,90,New York University
McCoy McLemore,201,104,Drake University
Jeff Mullins,193,86,Duke University
Cotton Nash,196,97,University of Kentucky
Willis Reed*,206,106,Grambling State University
Paul Silas,201,99,Creighton University
John Thompson*,208,102,Providence College
John Tresvant,201,97,Seattle University
George Wilson,203,102,University of Cincinnati
Rick Barry*,201,92,University of Miami
Jesse Branson,201,88,Elon University
Bill Buntin,201,113,University of Michigan
Barry Clemens,198,95,Ohio Wesleyan University
Billy Cunningham*,198,95,University of North Carolina
Keith Erickson,196,88,"University of California, Los Angeles"
John Fairchild,203,92,Brigham Young University
Will Frazier,201,95,Grambling State University
Gail Goodrich*,185,77,"University of California, Los Angeles"
Fred Hetzel,203,99,Davidson College
Jon McGlocklin,196,92,Indiana University
Thales McReynolds,190,83,Miles College
Ron Reed,196,92,University of Notre Dame
Jerry Sloan*,196,88,University of Evansville
Willie Somerset,173,77,Duquesne University
Dave Stallworth,201,90,Wichita State University
Joe Strawder,208,106,Bradley University
Dick Van,208,106,
Tom Van,208,106,
Bob Warlick,196,90,Pepperdine University
Jim Washington,198,95,Villanova University
Ron Watts,198,95,Wake Forest University
Bob Weiss,188,81,Pennsylvania State University
Henry Akin,208,102,Morehead State University
Johnny Austin,183,77,Boston College
Jim Barnett,203,95,University of Texas at El Paso
Dave Bing*,190,81,Syracuse University
John Block,206,93,University of Southern California
Nate Bowman,208,104,Wichita State University
Jerry Chambers,196,83,University of Utah
Archie Clark,188,79,University of Minnesota
Freddie Crawford,193,85,St. Bonaventure University
Dave Deutsch,185,77,University of Rochester
Joe Ellis,198,79,University of San Francisco
Hank Finkel,213,108,University of Dayton
Matt Guokas,190,88,Saint Joseph's University
Bob Hogsett,201,104,University of Tennessee
Lou Hudson,196,95,University of Minnesota
Neil Johnson,203,95,Ohio State University
Toby Kimball,198,99,University of Connecticut
Tommy Kron,196,90,University of Kentucky
Clyde Lee,208,92,Vanderbilt University
Bob Love,203,97,Southern University and A&M College
Jack Marin,201,90,Duke University
Bill Melchionni,185,74,Villanova University
Wayne Molis,203,104,Lewis University
Erwin Mueller,203,104,University of San Francisco
Dorie Murrey,203,97,University of Detroit Mercy
Flynn Robinson,185,83,University of Wyoming
Cazzie Russell,196,98,University of Michigan
Dave Schellhase,190,92,Purdue University
Dick Snyder,196,93,Davidson College
Jim Ware,201,95,Oklahoma City University
Walt Wesley,211,99,University of Kansas
Bud Acton,198,95,Hillsdale College
Cliff Anderson,188,90,Saint Joseph's University
Bill Bradley*,196,92,Princeton University
Tyrone Britt,193,86,Johnson C. Smith University
Jim Burns,190,88,Northwestern University
Jim Caldwell,208,108,Georgia Institute of Technology
George Carter,193,95,St. Bonaventure University
Jim Davis,206,102,University of Colorado
Bill Dinwiddie,201,99,New Mexico Highlands University
